Hotel ID,Hotel Name,city,Locality,State,star_Rating,Property Type,Total_Rooms,Base Price(INR),Review_Score,Review_Count,Distance_From_Airport_KM,Cancellation_Policy,Chain,Listed_Since
HTL0001,Sarovar Pune Heights,Pune,Baner,Maharashtra,2.0,Hotel,28.0,7411.0,4.1,8.0,3.8,Flexible,Sarovar,2021-07-15
HTL0002,Sarovar Mumbai Residency,Mumbai,Juhu,Maharashtra,3.0,Hotel,,8815.0,4.7,,0.8,Flexible,Sarovar,2017-09-12
HTL0003,FabHotels Bengaluru Central,Bengaluru,Koramangala,Karnataka,3.0,guest house,34.0,7919.0,4.7,4.0,,Moderate,FabHotels,2021-07-15
HTL0004,FabHotels Mumbai Heights,mumbai,Andheri,Maharashtra,5.0,Hotel,58.0,11747.0,4.1,,,Moderate,FabHotels,2016-06-29
HTL0005,Ginger Hyderabad,Hyderabad,Gachibowli,Telangana,3.0,hotel,50.0,8958.0,3.6,,5.6,Strict,Ginger,2017-01-10
HTL0006,FabHotels Goa Residency,Goa,Anjuna,Goa,3.0,home-stay,31.0,8844.0,4.1,263.0,4.5,Moderate,FabHotels,2021-04-30
HTL0007,FabHotels Mumbai Heights,MUMBAI,Colaba,Maharashtra,4.0,Guest House,52.0,8142.0,5.0,,7.4,Moderate,FabHotels,2020-01-31
HTL0008,Lemon Tree Manali Residency,Manali,Solang Valley,Himachal Pradesh,4.0,Resort,34.0,10456.0,4.5,47.0,16.2,Flexible,Lemon Tree,2020-07-20
HTL0009,Grand Sunrise Pune,Pune,Koregaon Park,Maharashtra,3.0,hotel,73.0,6960.0,3.1,,1.2,Strict,Independent,2016-09-14
HTL0010,Ginger Kochi Central,Kochi,Marine Drive,Kerala,4.0,Guest House,73.0,11420.0,4.7,,13.8,Moderate,Ginger,2021-08-31
HTL0011,FabHotels Kochi Heights,Kochi,Marine Drive,Kerala,2.0,hotel,51.0,4601.0,4.7,,4.4,Moderate,FabHotels,2022-06-13
HTL0012,OYO Bengaluru Suites,Bengaluru ,Whitefield,Karnataka,3.0,guest house,33.0,7810.0,5.0,26.0,5.1,Moderate,OYO,2022-07-01
